大tab,品类,名称,指标值,主投链路x产品,视频号/店铺,CTR,CVR,ROI,退款率,客单价,卖点,商品链接,图片链接,素材链接
AMS投放爆品,T恤,【品质纯棉】新款宽松休闲t恤短袖百搭大码中长款白色时尚女C,,ADQ×小店 (100.0%),豪赛雷服饰,3.65,8.17,3.23,45.54,40.2,版型:宽松 | 季节:夏季 | 卖点:宽松 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3mqaisaaaq4aneg3ul5vbuzaerfsabcka.f0.mp4?dis_k=9b8dd033355fb5e9a1007b3049fff43b&dis_t=1786010602&m=6038e17b2c7e13dd423929917a5a4d84&sha256=72a74d6fb977ecc1488b774a7689c87d3df23e5a426efd9518f066d669017552
AMS投放爆品,T恤,藏青纯棉短袖T恤女2026新款宽松显瘦百搭半袖设计感上衣C,,ADQ×小店 (100.0%),豪赛雷服饰,5.38,7.97,3.6,20.67,40.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc34iarqaabyeacsat57fvbxyqeddracgca.f0.mp4?dis_k=d3ae8f508f9a9c9b21f5b478db9af3b1&dis_t=1786523947&m=faae594e6b72f9ba772a79f6209b3e14&sha256=3fa1e18eb5dcfdc5399179f3154d1e0d00913186d36ee2ef72ba3cea3a96d0ab
AMS投放爆品,T恤,100%纯棉咖色短袖T恤女夏新款宽松圆领时尚百搭减龄上衣C,,ADQ×小店 (100.0%),豪赛雷服饰,5.08,6.8,2.97,47.87,40.0,版型:宽松 | 季节:夏季 | 卖点:宽松 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3qmaesaaa4uana4lvivvbvayejgbqaska.f0.mp4?dis_k=5e1106fb80f511a1b0f17da845e9d009&dis_t=1786091887&m=475aa510ed9db8873fe693ae5993a075&sha256=5bfbd88c9ca3295690e0eeeb81266821d2621143a681610093a773ba046c2577
AMS投放爆品,T恤,100%棉短袖T恤女夏季200斤大码显瘦宽松时尚休闲半袖洋气百搭显白上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,3.14,10.49,3.54,36.82,40.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53zuavsaabh4anlbt35vvbxtielhgqcwka.f0.mp4?dis_k=002a92010a633dd42648451160cc8a72&dis_t=1786616954&m=6d5b29f4c16909692108088679ba1399&sha256=471211bc5e4c5869a8dad2aab1ef7ba31061579f0ace23ead8cee6df853f6267
AMS投放爆品,T恤,【优质纯棉】夏季新款全棉短袖T恤女夏季大码宽松显瘦印花百搭国风上C,,ADQ×小店 (100.0%),豪赛雷服饰,4.54,9.79,3.46,28.24,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53cyajuaaapmag7e3wofvbufqetilabgsa.f0.mp4?dis_k=229cfa35ba6753392691e02deda07986&dis_t=1786181006&m=5556b6f123279f383971494856d51a63&sha256=1925fe18c12472865af06d6c73ad560e291f1838faf9270a66f5b5767ff30e71
AMS投放爆品,T恤,100%纯棉短袖T恤女宽松显瘦圆领玫瑰印花慵懒休闲上衣,,ADQ×小店 (100.0%),豪赛雷服饰,5.28,6.53,3.27,33.48,40.1,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3ciaksaaagmajfw3rynvbueqevejabkka.f0.mp4?dis_k=ac89196b3392535e7646e7d057925770&dis_t=1785805621&m=df2fed31ac31407d5038644d913e733c&sha256=7f89fd279759ae02f795ff95ce871ba4f06977f26d02dddef04a29574ce6ea07
AMS投放爆品,T恤,2026夏季新款纯棉短袖t恤女士宽松显瘦洋气减龄休闲大码圆领上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.25,7.46,3.36,34.42,40.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【优质纯棉】2026夏季新款短袖t恤女士宽松显瘦洋气减龄休闲大码圆领上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.91,6.92,3.24,24.86,40.0,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【优质棉】2026夏季新款短袖t恤女纯棉宽松显瘦洋气减龄休闲大码上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.43,6.97,3.0,35.37,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:休闲运动,,,http://adsmind.gdtimg.com/ads_svp_video__0bc37iaf4aaaimadl63qtrvbv6qel35aaxsa.f0.mp4?dis_k=cc3b0028cae98ddf896544afac6c5c87&dis_t=1785752537&m=6af2683185e06c16a5fac49dbacfe0f0&sha256=ddceabfdbb92d0fc5badffeb7895d07938885f32a7d208493ec71331b6031e60
AMS投放爆品,T恤,【莱赛尔 透心凉面膜T恤】莱赛尔天丝减龄遮肉显瘦速干透气不闷汗圆领纯色短袖小衫,,ADQ×直播 (100.0%),YOKO懿彄特伦,3.4,3.56,2.44,43.17,70.2,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:日常百搭,,,http://adsmind.gdtimg.com/ads_svp_video__0bc3nabu6aad34adnqjqmjvbs2aej5uagt2a.f0.mp4?dis_k=d86f3b91b8d91301d6867e0075215506&dis_t=1784839296&m=e0742d3cfcd3474475b5c895f86fa1a5&sha256=7644055ee4092b29c330a05e16561d29e6d56d67401c51ca8fe7134d36bc3883
AMS投放爆品,T恤,【气质休闲】纯棉短袖t恤女2026新款爆款简约时尚宽松版大码显瘦休闲上衣G,,ADQ×小店 (100.0%),豪赛雷服饰,4.21,7.0,3.09,40.37,40.3,版型:修身 | 季节:夏季 | 卖点:显瘦 | 风格:百搭通勤,,,http://adsmind.gdtimg.com/ads_svp_video__0b53yaad6aaaf4aggflmlfvbvqaeh7aaap2a.f0.mp4?dis_k=79024d2906619279a28af68f42231212&dis_t=1785486605&m=132f6f096bf4b9d44db40cbebc100bb0&sha256=921e36209ba7b42049cb04f07e09a5dd091daee534a806f47229fe94c406c50f
